1,1
2,1
3,1
4,0
5,4
6,2
7,2
8,4
9,0
10,0
11,0
12,4
13,2
14,3
15,0
16,1
17,3
18,3
19,4
20,0
21,3
22,3
23,3
24,2
25,3
26,4
27,4
28,3
29,0
30,2
31,1
32,1
33,3
34,2
35,2
36,2
37,0
38,0
39,2
40,0
41,0
42,4
43,1
44,3
45,1
46,3
47,1
48,4
49,3
50,3
51,3
52,1
53,2
54,3
55,4
56,4
57,1
58,4
59,3
60,0
61,2
62,4
63,3
64,3
65,1
66,0
67,0
68,0
69,3
70,1
71,4
72,1
73,3
74,2
75,2
76,1
77,3
78,4
79,1
80,1
81,1
82,0
83,2
84,0
85,1
86,3
87,1
88,3
89,3
90,2
91,2
92,1
93,2
94,0
95,3
96,3
97,1
98,2
99,4
100,3
101,3
102,4
103,1
104,0
105,4
106,0
107,0
108,0
109,3
110,0
111,3
112,3
113,4
114,3
115,0
116,4
117,0
118,0
119,3
120,1
121,3
122,0
123,3
124,0
125,3
126,4
127,4
128,1
129,3
130,3
131,0
132,4
133,0
134,3
135,3
136,3
137,2
138,0
139,4
140,1
141,0
142,4
143,0
144,1
145,1
146,1
147,2
148,0
149,4
150,3
151,1
152,2
153,3
154,2
155,1
156,0
157,3
158,0
159,0
160,2
161,2
162,3
163,4
164,3
165,4
166,1
167,3
168,3
169,3
170,2
171,0
172,3
173,3
174,3
175,2
176,2
177,3
178,2
179,1
180,4
181,3
182,2
183,1
184,3
185,2
186,4
187,2
188,0
189,1
190,4
191,2
192,1
193,0
194,2
195,0
196,2
197,3
198,0
199,3
200,3
201,3
202,1
203,0
204,3
205,0
206,0
207,0
208,3
209,3
210,2
211,0
212,2
213,2
214,4
215,3
216,0
217,0
218,4
219,2
220,3
221,1
222,2
223,0
224,1
225,3
226,3
227,2
228,3
229,2
230,2
231,3
232,4
233,2
234,0
235,3
236,2
237,2
238,3
239,3
240,1
241,4
242,2
243,3
244,2
245,3
246,2
247,3
248,1
249,2
250,2
251,1
252,4
253,4
254,0
255,3
256,3
257,4
258,0
259,0
260,1
261,2
262,0
263,0
264,4
265,2
266,2
267,4
268,2
269,0
270,3
271,0
272,0
273,1
274,3
275,0
276,4
277,4
278,3
279,4
280,0
281,1
282,3
283,0
284,2
285,3
286,0
287,4
288,4
289,1
290,1
291,0
292,0
293,3
294,0
295,0
296,2
297,2
298,2
299,3
300,0
301,2
302,2
303,4
304,3
305,3
306,4
307,4
308,2
309,0
310,1
311,4
312,1
313,0
314,0
315,4
316,4
317,1
318,1
319,3
320,4
321,1
322,0
323,2
324,4
325,2
326,4
327,0
328,3
329,4
330,1
331,3
332,3
333,4
334,4
335,3
336,2
337,0
338,4
339,0
340,3
341,0
342,3
343,4
344,2
345,1
346,2
347,3
348,3
349,4
350,3
351,3
352,2
353,2
354,2
355,4
356,1
357,4
358,3
359,3
360,4
361,3
362,2
363,0
364,3
365,1
366,3
367,3
368,4
369,2
370,2
371,3
372,1
373,4
374,4
375,0
376,0
377,3
378,2
379,0
380,1
381,1
382,0
383,0
384,2
385,3
386,0
387,0
388,3
389,4
390,2
391,0
392,3
